francais,fon,pluriel,vu_dans
"+ Ajouter",,,resources/views/membres/index.blade.php:44
"1. Chaque membre a un QR",,,resources/views/welcome.blade.php:36
"1. Inscription",,,resources/views/demo.blade.php:61
"12 derniers mois",,,resources/views/statistiques-avancees.blade.php:17
"2. Le responsable scanne",,,resources/views/welcome.blade.php:43
"2. Vérification",,,resources/views/demo.blade.php:70
"3 derniers mois",,,resources/views/statistiques-avancees.blade.php:16
"3. Le suivi se fait seul",,,resources/views/welcome.blade.php:50
"3. Suivi",,,resources/views/demo.blade.php:79
"30 derniers jours",,,resources/views/statistiques-avancees.blade.php:15
"4. Export",,,resources/views/demo.blade.php:88
"7 derniers jours",,,resources/views/statistiques-avancees.blade.php:14
":count membre ajouté.|:count membres ajoutés.",,oui,app/Http/Controllers/PresenceController.php:87
":count membre au total|:count membres au total",,oui,resources/views/dashboardV.blade.php:52
":count membre|:count membres",,oui,resources/views/dashboard.blade.php:73
":count pointage|:count pointages",,oui,resources/views/heatmap/index.blade.php:153
":count présence|:count présences",,oui,resources/views/heatmap/index.blade.php:98
":done/:total événements",,,resources/views/membres/index.blade.php:140
":user a créé une présence",,,resources/views/statistiques.blade.php:153
":user a modifié une présence",,,resources/views/statistiques.blade.php:154
":user a supprimé une présence",,,resources/views/statistiques.blade.php:155
Accordé,,,resources/views/rgpd/index.blade.php:45
"Accès restreint : un responsable ne voit que les membres de ses groupes",,,resources/views/legal/privacy.blade.php:34
"Accéder au tableau de bord",,,resources/views/welcome.blade.php:14
Actions,,,resources/views/membres/index.blade.php:120
"Activer les alertes d'absence",,,resources/views/alerts/index.blade.php:100
"Activer les alertes et rappels",,,resources/views/alerts/index.blade.php:82
"Activer les rappels avant événements",,,resources/views/alerts/index.blade.php:153
"Activité de présence",,,resources/views/heatmap/index.blade.php:59
"Activités récentes",,,resources/views/statistiques.blade.php:144
"Adresse email",,,resources/views/profile/partials/update-profile-information-form.blade.php:27
"Ajout, modification et suppression des membres par groupes",,,resources/views/features.blade.php:10
"Ajouter des membres",,,resources/views/membres/index.blade.php:49
"Ajouter un membre",,,resources/views/membres/index.blade.php:94
"Ajoutez vos membres",,,resources/views/documentation.blade.php:12
"Alertes & rappels",,,resources/views/layouts/navigation.blade.php:68
"Alertes d'absence",,,resources/views/alerts/index.blade.php:93
Amélioration,,,resources/views/statistiques-avancees.blade.php:85
Analyse,,,resources/views/layouts/navigation.blade.php:50
"Analyses avancées",,,resources/views/layouts/navigation.blade.php:57
"Analyses détaillées et comparaisons de périodes",,,resources/views/features.blade.php:25
Annuler,,,resources/views/membres/edit.blade.php:68
Appliquer,,,resources/views/heatmap/index.blade.php:25
Assiduité,,,resources/views/documentation.blade.php:26
"Assiduité (heatmap)",,,resources/views/layouts/navigation.blade.php:61
