francais,yo,pluriel,vu_dans
"+ Ajouter","+ Fi kún",,resources/views/membres/index.blade.php:44
"1. Chaque membre a un QR","1. Ọmọ ẹgbẹ́ kọ̀ọ̀kan ní QR",,resources/views/welcome.blade.php:36
"1. Inscription","1. Ìforúkọsílẹ̀",,resources/views/demo.blade.php:61
"12 derniers mois","Oṣù 12 sẹ́yìn",,resources/views/analyses.blade.php:19
"2. Le responsable scanne","2. Olùdarí ń ṣàyẹ̀wò",,resources/views/welcome.blade.php:43
"2. Vérification","2. Ìṣàyẹ̀wò",,resources/views/demo.blade.php:70
"3 derniers mois","Oṣù 3 sẹ́yìn",,resources/views/analyses.blade.php:18
"3. Le suivi se fait seul","3. Ìtọ́jú ń ṣe ara rẹ̀",,resources/views/welcome.blade.php:50
"3. Suivi","3. Ìtọ́jú",,resources/views/demo.blade.php:79
"30 derniers jours","Ọjọ́ 30 sẹ́yìn",,resources/views/analyses.blade.php:17
"4. Export","4. Ìjáde",,resources/views/demo.blade.php:88
"7 derniers jours","Ọjọ́ 7 sẹ́yìn",,resources/views/analyses.blade.php:16
":count membre ajouté.|:count membres ajoutés.","A fi ọmọ ẹgbẹ́ :count kún.|A fi ọmọ ẹgbẹ́ :count kún.",oui,app/Http/Controllers/PresenceController.php:87
":count membre au total|:count membres au total","Àpapọ̀ ọmọ ẹgbẹ́ :count|Àpapọ̀ ọmọ ẹgbẹ́ :count",oui,resources/views/dashboardV.blade.php:52
":count membre|:count membres","Ọmọ ẹgbẹ́ :count|Ọmọ ẹgbẹ́ :count",oui,resources/views/dashboard.blade.php:73
":count pointage|:count pointages","Ìforúkọsílẹ̀ :count|Ìforúkọsílẹ̀ :count",oui,resources/views/analyses.blade.php:166
":count présence|:count présences","Wíwàníbẹ̀ :count|Wíwàníbẹ̀ :count",oui,resources/views/analyses.blade.php:143
":count événement|:count événements","Ìṣẹ̀lẹ̀ :count|Ìṣẹ̀lẹ̀ :count",oui,resources/views/analyses.blade.php:68
":done/:total événements","Ìṣẹ̀lẹ̀ :done/:total",,resources/views/membres/index.blade.php:143
":user a créé une présence",":user ṣẹ̀dá àkọsílẹ̀ wíwàníbẹ̀",,resources/views/statistiques.blade.php:153
":user a modifié une présence",":user ṣàtúnṣe àkọsílẹ̀ wíwàníbẹ̀",,resources/views/statistiques.blade.php:154
":user a supprimé une présence",":user paarẹ́ àkọsílẹ̀ wíwàníbẹ̀",,resources/views/statistiques.blade.php:155
Accordé,"A fọwọ́sí",,resources/views/membres/index.blade.php:158
"Accès restreint : un responsable ne voit que les membres de ses groupes","Àǹfààní ìhámọ́: olùdarí kan a máa rí àwọn ọmọ ẹgbẹ́ tirẹ̀ nìkan",,resources/views/legal/privacy.blade.php:34
"Accéder au tableau de bord","Lọ sí pátákó ìdarí",,resources/views/welcome.blade.php:14
Actions,Ìṣe,,resources/views/membres/index.blade.php:123
"Activités récentes","Ìgbòkègbodò tuntun",,resources/views/statistiques.blade.php:144
"Adresse email","Àdírẹ́sì ímeèlì",,resources/views/profile/partials/update-profile-information-form.blade.php:27
"Ajout, modification et suppression des membres par groupes","Fífi kún, ṣíṣàtúnṣe àti pípa àwọn ọmọ ẹgbẹ́ rẹ́ ní ẹgbẹ́ kọ̀ọ̀kan",,resources/views/features.blade.php:10
"Ajouter des membres","Fi àwọn ọmọ ẹgbẹ́ kún",,resources/views/membres/index.blade.php:49
"Ajouter un membre","Fi ọmọ ẹgbẹ́ kan kún",,resources/views/membres/index.blade.php:94
"Ajoutez vos membres","Fi àwọn ọmọ ẹgbẹ́ rẹ kún",,resources/views/documentation.blade.php:12
Amélioration,Ìlọsíwájú,,resources/views/analyses.blade.php:93
Analyses,Ìtúpalẹ̀,,resources/views/layouts/navigation.blade.php:57
"Analyses avancées","Ìtúpalẹ̀ jíjinlẹ̀",,resources/views/documentation.blade.php:30
"Analyses détaillées et comparaisons de périodes","Ìtúpalẹ̀ kíkún àti ìfiwéra àkókò",,resources/views/features.blade.php:25
Annuler,Fagilé,,resources/views/membres/edit.blade.php:68
Appliquer,Lò,,resources/views/analyses.blade.php:34
Assiduité,Ìdúróṣinṣin,,resources/views/documentation.blade.php:26
"Assiduité jour par jour","Ìdúróṣinṣin ojoojúmọ́",,resources/views/analyses.blade.php:112
"Aucun membre enregistré dans ce groupe.","Kò sí ọmọ ẹgbẹ́ kankan nínú ẹgbẹ́ yìí.",,resources/views/dashboardV.blade.php:59
"Aucun membre enregistré pour le moment.","Kò sí ọmọ ẹgbẹ́ kankan fún ìsinsìnyí.",,resources/views/membres/index.blade.php:237
"Aucun membre n'est présent pour cette date.","Kò sí ọmọ ẹgbẹ́ tó wà níbẹ̀ ní ọjọ́ yìí.",,resources/views/statistiques.blade.php:126
"Aucun téléphone requis côté membre","Ọmọ ẹgbẹ́ kò nílò fóònù",,resources/views/demo.blade.php:46
"Aucune donnée disponible","Kò sí data kankan",,resources/views/membres/index.blade.php:287
"Aucune donnée pour cette période","Kò sí data fún àkókò yìí",,resources/views/analyses.blade.php:216
"Aucune présence enregistrée","Kò sí wíwàníbẹ̀ tí a kọ sílẹ̀",,resources/views/statistiques.blade.php:125
"Aucune présence enregistrée pour cette date.","Kò sí wíwàníbẹ̀ tí a kọ sílẹ̀ fún ọjọ́ yìí.",,resources/views/pdf/statistiques.blade.php:147
"Aucune session active pour ce groupe.","Kò sí ìpàdé tó ń lọ fún ẹgbẹ́ yìí.",,app/Http/Controllers/PresenceController.php:105
"Badge obtenu :","Àmì tí a rí gbà:",,resources/views/sessions/open.blade.php:66
Bon,Dáadáa,,resources/views/analyses.blade.php:207
"Bon (≥70%)","Dáadáa (≥70%)",,resources/views/membres/index.blade.php:302
CGU,"Àwọn Òfin Ìlò",,resources/views/components/footer.blade.php:24
"Carnet de présence numérique pour les groupes : une carte QR par membre, un scan par le responsable, des statistiques automatiques.","Ìwé wíwàníbẹ̀ oní-nọ́mbà fún àwọn ẹgbẹ́: káàdì QR kan fún ọmọ ẹgbẹ́ kọ̀ọ̀kan, ìṣàyẹ̀wò kan láti ọ̀dọ̀ olùdarí, ìṣirò aládàáṣe.",,resources/views/layouts/public.blade.php:7
"Carte QR","Káàdì QR",,resources/views/membres/index.blade.php:189
"Carte QR personnelle","Káàdì QR ti ara ẹni",,resources/views/demo.blade.php:39
"Carte QR personnelle pour chaque membre","Káàdì QR ti ara ẹni fún ọmọ ẹgbẹ́ kọ̀ọ̀kan",,resources/views/about.blade.php:17
"Carte d'activité jour par jour et score de régularité","Àwòrán ìgbòkègbodò ojoojúmọ́ àti ààmì ìdúróṣinṣin",,resources/views/documentation.blade.php:27
"Carte de présence","Káàdì wíwàníbẹ̀",,resources/views/pdf/carte-membre.blade.php:5
"Carte de présence personnelle","Káàdì wíwàníbẹ̀ ti ara ẹni",,resources/views/pdf/carte-membre.blade.php:55
"Ce membre n'a pas de QR personnel actif.","Ọmọ ẹgbẹ́ yìí kò ní káàdì QR ti ara rẹ̀ tó ń ṣiṣẹ́.",,app/Http/Controllers/PresenceController.php:320
"Cette session est fermée.","Ìpàdé yìí ti pín.",,app/Http/Controllers/AttendanceSessionController.php:100
"Cette zone est protégée. Confirmez votre mot de passe pour continuer.","Agbègbè ààbò ni èyí. Fọwọ́sí ọ̀rọ̀ ìgbaniwọlé rẹ láti tẹ̀síwájú.",,resources/views/auth/confirm-password.blade.php:3
"Changer de langue","Yí èdè padà",,resources/views/components/language-selector.blade.php:15
"Chaque membre a une carte QR personnelle : dans la liste des membres, le bouton « Carte QR » en génère le PDF à imprimer. Pour pointer, ouvrez une session depuis le tableau de bord, puis scannez les cartes.","Ọmọ ẹgbẹ́ kọ̀ọ̀kan ní káàdì QR ti ara rẹ̀: nínú àtòjọ àwọn ọmọ ẹgbẹ́, bọ́tìnnì «Káàdì QR» ń ṣẹ̀dá PDF fún títẹ̀. Láti forúkọ sílẹ̀, ṣí ìpàdé kan láti pátákó ìdarí, kí o sì ṣàyẹ̀wò àwọn káàdì.",,resources/views/faq.blade.php:15
Chiffrement,"Ìpamọ́ àṣírí",,resources/views/legal/security.blade.php:14
"Chiffrement des échanges avec le serveur (HTTPS/TLS)","A ń pa ìbánisọ̀rọ̀ pẹ̀lú sáfà mọ́ ní àṣírí (HTTPS/TLS)",,resources/views/legal/privacy.blade.php:33
"Choisissez un mot de passe sécurisé","Yan ọ̀rọ̀ ìgbaniwọlé tó ní ààbò",,resources/views/auth/register.blade.php:56
"Classement par taux de présence","Ìtòlẹ́sẹẹsẹ gẹ́gẹ́ bí ìwọ̀n wíwàníbẹ̀",,resources/views/analyses.blade.php:176
"Cliquez ici pour renvoyer l'email de vérification.","Tẹ ibí láti tún ímeèlì ìjẹ́rìísí ránṣẹ́.",,resources/views/profile/partials/update-profile-information-form.blade.php:37
Cloisonnement,"Ìpínyà data",,resources/views/legal/security.blade.php:18
"Comment ajouter un membre ?","Báwo ni mo ṣe lè fi ọmọ ẹgbẹ́ kún?",,resources/views/faq.blade.php:9
"Comment fonctionne la carte QR ?","Báwo ni káàdì QR ṣe ń ṣiṣẹ́?",,resources/views/faq.blade.php:14
"Comment retirer le consentement RGPD ?","Báwo ni mo ṣe lè yọ ìfọwọ́sí RGPD kúrò?",,resources/views/faq.blade.php:29
"Comment ça marche","Bí ó ṣe ń ṣiṣẹ́",,resources/views/welcome.blade.php:30
"Comparaison avec la période précédente","Ìfiwéra pẹ̀lú àkókò tó kọjá",,resources/views/analyses.blade.php:75
"Conditions générales d'utilisation","Àwọn òfin ìlò",,resources/views/legal/terms.blade.php:5
Confidentialité,Ìpamọ́,,resources/views/components/footer.blade.php:23
Confirmer,Fọwọ́sí,,resources/views/auth/confirm-password.blade.php:23
"Confirmer le mot de passe","Fọwọ́sí ọ̀rọ̀ ìgbaniwọlé",,resources/views/profile/partials/update-password-form.blade.php:29
"Confirmez votre mot de passe","Fọwọ́sí ọ̀rọ̀ ìgbaniwọlé rẹ",,resources/views/auth/register.blade.php:68
Conformité,Ìbámu,,resources/views/legal/security.blade.php:25
"Conformité RGPD","Ìbámu RGPD",,resources/views/about.blade.php:20
"Conformément au RGPD, vous disposez des droits suivants :","Gẹ́gẹ́ bí RGPD ṣe sọ, ẹ ní àwọn ẹ̀tọ́ wọ̀nyí:",,resources/views/legal/privacy.blade.php:41
"Connectez-vous pour gérer la présence de vos groupes.","Wọlé láti ṣàkóso wíwàníbẹ̀ àwọn ẹgbẹ́ rẹ.",,resources/views/auth/login.blade.php:4
Connexion,Wọlé,,resources/views/layouts/public.blade.php:34
Consentement,Ìfọwọ́sí,,resources/views/membres/index.blade.php:117
"Consentement RGPD obtenu (oral/écrit)","A ti gba ìfọwọ́sí RGPD (ẹnu tàbí ìwé)",,resources/views/membres/index.blade.php:83
"Consentement enregistré pour chaque membre","A kọ ìfọwọ́sí sílẹ̀ fún ọmọ ẹgbẹ́ kọ̀ọ̀kan",,resources/views/legal/privacy.blade.php:35
"Consultez les statistiques","Wo àwọn ìṣirò",,resources/views/documentation.blade.php:14
Contact,Ìbánisọ̀rọ̀,,resources/views/contact.blade.php:5
"Critique (<30%)","Léwu (<30%)",,resources/views/membres/index.blade.php:314
"Création de compte sécurisée","Ṣíṣẹ̀dá àkàǹtì onílàáàbò",,resources/views/demo.blade.php:63
"Créer mon compte","Ṣẹ̀dá àkàǹtì mi",,resources/views/auth/register.blade.php:76
"Créer un compte","Ṣẹ̀dá àkàǹtì",,resources/views/layouts/public.blade.php:37
"Créez votre compte et testez les fonctionnalités","Ṣẹ̀dá àkàǹtì rẹ kí o sì dán àwọn ẹ̀ya rẹ̀ wò",,resources/views/demo.blade.php:98
"Créez votre compte et votre premier groupe","Ṣẹ̀dá àkàǹtì rẹ àti ẹgbẹ́ àkọ́kọ́ rẹ",,resources/views/documentation.blade.php:11
Date,Ọjọ́,,resources/views/pdf/statistiques.blade.php:131
"Date :",Ọjọ́:,,resources/views/pdf/statistiques.blade.php:100
"Date de début","Ọjọ́ ìbẹ̀rẹ̀",,resources/views/analyses.blade.php:27
"Date de fin","Ọjọ́ ìparí",,resources/views/analyses.blade.php:31
Diminution,Ìdinku,,resources/views/analyses.blade.php:93
"Document généré automatiquement par le système de vérification de présence","Ìwé tí ètò ìṣàyẹ̀wò wíwàníbẹ̀ ṣẹ̀dá fúnra rẹ̀",,resources/views/pdf/statistiques.blade.php:152
Documentation,"Ìwé ìtọ́sọ́nà",,resources/views/documentation.blade.php:5
"Données collectées","Data tí a kójọ",,resources/views/legal/privacy.blade.php:11
"Données de présence (date, heure)","Data wíwàníbẹ̀ (ọjọ́, àkókò)",,resources/views/legal/privacy.blade.php:16
"Droit d'accès à vos données","Ẹ̀tọ́ láti wo data rẹ",,resources/views/legal/privacy.blade.php:43
"Droit d'opposition","Ẹ̀tọ́ láti takò",,resources/views/legal/privacy.blade.php:47
"Droit de portabilité","Ẹ̀tọ́ láti gbé data lọ",,resources/views/legal/privacy.blade.php:46
"Droit de rectification","Ẹ̀tọ́ láti ṣàtúnṣe",,resources/views/legal/privacy.blade.php:44
"Droit à l'effacement","Ẹ̀tọ́ láti paarẹ́",,resources/views/legal/privacy.blade.php:45
"Du :debut au :fin","Láti :debut dé :fin",,resources/views/analyses.blade.php:43
Déconnexion,Jáde,,resources/views/layouts/navigation.blade.php:84
"Découvrez les fonctionnalités en action","Wo àwọn ẹ̀ya rẹ̀ nínú iṣẹ́",,resources/views/demo.blade.php:5
"Déjà un compte ?","Ṣé o ti ní àkàǹtì?",,resources/views/auth/register.blade.php:80
Démonstration,Àfihàn,,resources/views/demo.blade.php:1
"Démonstration du système","Àfihàn ètò náà",,resources/views/demo.blade.php:4
"Email :",Ímeèlì:,,resources/views/contact.blade.php:13
"En attente d'un scan…","Ń dúró de ìṣàyẹ̀wò…",,resources/views/sessions/open.blade.php:34
"En utilisant l'application, vous vous engagez à :","Nípa lílo ohun èlò yìí, ẹ gbà láti:",,resources/views/legal/terms.blade.php:29
Enregistrer,"Fi pamọ́",,resources/views/profile/partials/update-profile-information-form.blade.php:51
"Enregistrer les présences","Fi wíwàníbẹ̀ pamọ́",,resources/views/dashboardV.blade.php:54
"Enregistrer tous les membres","Fi gbogbo ọmọ ẹgbẹ́ pamọ́",,resources/views/membres/index.blade.php:97
"Enregistrer un ou plusieurs nouveaux membres","Forúkọ ọmọ ẹgbẹ́ tuntun kan tàbí púpọ̀ sílẹ̀",,resources/views/dashboard.blade.php:46
Enregistré.,"A ti fi pamọ́.",,resources/views/profile/partials/update-profile-information-form.blade.php:60
"Envoyer le lien de réinitialisation","Fi ọ̀nà ìtúnṣe ránṣẹ́",,resources/views/auth/forgot-password.blade.php:21
"Erreur inconnue.","Àṣìṣe àìmọ̀.",,resources/views/sessions/open.blade.php:67
"Erreur réseau, réessayez.","Àṣìṣe nẹ́tíwọ̀kì, gbìyànjú lẹ́ẹ̀kan sí i.",,resources/views/sessions/open.blade.php:68
"Ex. : Groupe de prière, Chorale…","Àpẹẹrẹ: Ẹgbẹ́ àdúrà, Ẹgbẹ́ akọrin…",,resources/views/auth/register.blade.php:31
Excellent,Tayọ,,resources/views/analyses.blade.php:205
"Excellent (≥90%)","Tayọ (≥90%)",,resources/views/membres/index.blade.php:298
"Export PDF","Ìjáde PDF",,resources/views/documentation.blade.php:34
"Export PDF des statistiques","Ìjáde PDF ti àwọn ìṣirò",,resources/views/demo.blade.php:25
"Exporter PDF","Mú PDF jáde",,resources/views/statistiques.blade.php:85
"Exporter les données","Mú data jáde",,resources/views/membres/index.blade.php:196
"Exportez vos rapports","Mú ìjábọ̀ rẹ jáde",,resources/views/documentation.blade.php:35
FAQ,"Ìbéèrè tí a sábà béèrè",,resources/views/faq.blade.php:5
"Faible (≥30%)","Kékeré (≥30%)",,resources/views/membres/index.blade.php:310
Fermer,Tì,,resources/views/membres/index.blade.php:44
"Fermer la session","Ti ìpàdé",,resources/views/dashboard.blade.php:86
"Fermer la session ?","Ti ìpàdé náà?",,resources/views/sessions/open.blade.php:54
"Fermer le menu","Ti àtòjọ",,resources/views/layouts/navigation.blade.php:29
"Feuille de présence","Ìwé wíwàníbẹ̀",,resources/views/layouts/navigation.blade.php:51
"Filtrer les résultats","Ṣàyẹ̀wò àwọn èsì",,resources/views/statistiques.blade.php:28
"Filtres de recherche","Ìṣàyẹ̀wò ìwádìí",,resources/views/statistiques.blade.php:10
Fonctionnalités,"Àwọn ẹ̀ya",,resources/views/components/footer.blade.php:9
"Fonctionnalités avancées","Àwọn ẹ̀ya jíjinlẹ̀",,resources/views/documentation.blade.php:19
"Fournir des informations exactes","Pèsè ìsọfúnni tó tọ́",,resources/views/legal/terms.blade.php:31
"Gestion des membres","Ìṣàkóso àwọn ọmọ ẹgbẹ́",,resources/views/membres/index.blade.php:40
"Gestion des membres par groupes","Ìṣàkóso àwọn ọmọ ẹgbẹ́ ní ẹgbẹ́ kọ̀ọ̀kan",,resources/views/about.blade.php:15
"Graphiques et classements","Àwòrán àti ìtòlẹ́sẹẹsẹ",,resources/views/demo.blade.php:24
Groupe(s),Ẹgbẹ́,,resources/views/membres/edit.blade.php:52
"Groupe(s) :",Ẹgbẹ́:,,resources/views/pdf/statistiques.blade.php:96
Groupes,"Àwọn ẹgbẹ́",,resources/views/membres/index.blade.php:114
"Guide de démarrage","Ìtọ́sọ́nà ìbẹ̀rẹ̀",,resources/views/documentation.blade.php:9
"Généré le :","A ṣẹ̀dá rẹ̀ ní:",,resources/views/pdf/statistiques.blade.php:104
Heure,Àkókò,,resources/views/statistiques.blade.php:96
"Heure d'arrivée","Àkókò ìdé",,resources/views/pdf/statistiques.blade.php:130
"Heure la plus active","Wákàtí tó gbóná jù",,resources/views/analyses.blade.php:163
"Horaires :","Àkókò iṣẹ́:",,resources/views/contact.blade.php:21
"Hors ligne","Kò sí lórí ìkànnì",,resources/views/offline.blade.php:6
"Hébergement sécurisé · Conforme RGPD · Données chiffrées en transit","Ìtọ́jú onílàáàbò · Ìbámu RGPD · Data tí a pa mọ́ ní àṣírí nígbà ìrìnàjò",,resources/views/components/footer.blade.php:30
"Il semble que vous n'ayez pas de connexion internet. Vérifiez votre connexion et réessayez.","Ó dàbí pé o kò ní ìsopọ̀ íńtánẹ́ẹ̀tì. Ṣàyẹ̀wò ìsopọ̀ rẹ kí o sì gbìyànjú lẹ́ẹ̀kan sí i.",,resources/views/offline.blade.php:19
"Impossible d'accéder à la caméra. Vérifiez les autorisations du navigateur.","Kò ṣeé ṣe láti lo kámẹ́rà. Ṣàyẹ̀wò àṣẹ ẹ̀rọ aṣàwákiri rẹ.",,resources/views/sessions/open.blade.php:69
"Imprimez la carte de chaque membre et scannez-la pendant la session","Tẹ káàdì ọmọ ẹgbẹ́ kọ̀ọ̀kan kí o sì ṣàyẹ̀wò rẹ̀ nígbà ìpàdé",,resources/views/documentation.blade.php:23
"Informations du profil","Ìsọfúnni profáìlì",,resources/views/profile/partials/update-profile-information-form.blade.php:4
"Interface de gestion","Ojú-ìwé ìṣàkóso",,resources/views/demo.blade.php:18
"Interface simple pour marquer les présences","Ojú-ìwé tó rọrùn láti kọ wíwàníbẹ̀ sílẹ̀",,resources/views/features.blade.php:15
"L'application de vérification de présence a été conçue pour simplifier la gestion des présences lors de réunions, formations et événements. Notre objectif est de fournir un outil simple, efficace et sécurisé.","A ṣe ohun èlò ìṣàyẹ̀wò wíwàníbẹ̀ yìí láti mú ìṣàkóso wíwàníbẹ̀ rọrùn nínú àwọn ìpàdé, ìdánilẹ́kọ̀ọ́ àti ìṣẹ̀lẹ̀. Èròngbà wa ni láti pèsè ohun èlò tó rọrùn, tó ṣiṣẹ́ dáadáa tó sì ní ààbò.",,resources/views/about.blade.php:10
"L'application est destinée à :","A ṣe ohun èlò yìí fún:",,resources/views/legal/terms.blade.php:19
"L'organisation de réunions et formations","Ìṣètò àwọn ìpàdé àti ìdánilẹ́kọ̀ọ́",,resources/views/legal/terms.blade.php:23
"L'utilisateur est responsable de l'utilisation qu'il fait de l'application et des données qu'il y saisit. Nous nous efforçons de maintenir la disponibilité du service mais ne garantissons pas une disponibilité de 100 %.","Olùlò ni ó ní ojúṣe fún bí ó ṣe ń lo ohun èlò yìí àti data tí ó fi sí inú rẹ̀. A ń sapá láti jẹ́ kí iṣẹ́ náà wà nígbà gbogbo ṣùgbọ́n a kò ṣèlérí wíwà 100 %.",,resources/views/legal/terms.blade.php:41
"La gestion des présences","Ìṣàkóso wíwàníbẹ̀",,resources/views/legal/privacy.blade.php:24
"La gestion des présences lors d'événements","Ìṣàkóso wíwàníbẹ̀ nínú àwọn ìṣẹ̀lẹ̀",,resources/views/legal/terms.blade.php:21
"La génération de statistiques","Ṣíṣẹ̀dá àwọn ìṣirò",,resources/views/legal/privacy.blade.php:25
"La génération de statistiques de présence","Ṣíṣẹ̀dá àwọn ìṣirò wíwàníbẹ̀",,resources/views/legal/terms.blade.php:22
"La mise en place d'un groupe prend moins de deux minutes.","Ṣíṣètò ẹgbẹ́ kan kò tó ìṣẹ́jú méjì.",,resources/views/welcome.blade.php:60
"La présence de vos groupes, <span class=""text-accent"">simplement</span> suivie","Wíwàníbẹ̀ àwọn ẹgbẹ́ rẹ, <span class=""text-accent"">lọ́nà tó rọrùn</span>",,resources/views/welcome.blade.php:6
"La relance se fait par téléphone : appuyez sur un numéro pour appeler. Aucun SMS ni email n'est envoyé automatiquement.","Nípa fóònù ni a ṣe ń rán wọn létí: tẹ nọ́mbà kan láti pè. A kò fi SMS tàbí ímeèlì kankan ránṣẹ́ fúnra rẹ̀.",,resources/views/alerts/index.blade.php:62
"Le nom de votre groupe ou organisation. Vous pourrez ajouter d'autres co-responsables ensuite.","Orúkọ ẹgbẹ́ tàbí àjọ rẹ. O lè fi àwọn olùdarí mìíràn kún lẹ́yìn náà.",,resources/views/auth/register.blade.php:34
"Le numéro de téléphone ne peut contenir que des chiffres et le symbole +","Nọ́mbà fóònù lè ní àwọn nọ́mbà àti àmì + nìkan",,app/Http/Controllers/PresenceController.php:56
"Les données sont-elles sécurisées ?","Ṣé data náà ní ààbò?",,resources/views/faq.blade.php:19
"Les présentes conditions générales d'utilisation (CGU) régissent l'utilisation de l'application de vérification de présence. En utilisant cette application, vous acceptez ces conditions.","Àwọn òfin ìlò wọ̀nyí ń ṣàkóso lílo ohun èlò ìṣàyẹ̀wò wíwàníbẹ̀ yìí. Nípa lílo rẹ̀, ẹ gba àwọn òfin wọ̀nyí.",,resources/views/legal/terms.blade.php:13
"Les échanges avec le serveur sont chiffrés et les données sont hébergées en Europe. Le consentement de chaque membre est enregistré.","A pa ìbánisọ̀rọ̀ pẹ̀lú sáfà mọ́ ní àṣírí, a sì tọ́jú data ní Yúróòpù. A kọ ìfọwọ́sí ọmọ ẹgbẹ́ kọ̀ọ̀kan sílẹ̀.",,resources/views/faq.blade.php:20
"Liste des membres","Àtòjọ àwọn ọmọ ẹgbẹ́",,resources/views/membres/index.blade.php:4
"Liste des présences","Àtòjọ wíwàníbẹ̀",,resources/views/pdf/statistiques.blade.php:122
"Lundi au vendredi, 9 h - 18 h","Ajé sí Ẹtì, 9 àárọ̀ - 6 alẹ́",,resources/views/contact.blade.php:22
